"","age","sex","born","educ","income","cohort","income16","granborn","income16_cat","income_cat"
"1757",70,"Female","Yes",13,12,1951,15,"Two","$25,000 TO $29,999","$25,000 OR MORE"
"1758",59,"Female","Yes",16,12,1962,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1759",29,"Female","No",12,1,1992,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"1760",72,"Male","Yes",14,NA,1949,NA,NA,NA,NA
"1761",65,"Female","Yes",16,12,1956,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1762",45,"Male","Yes",12,12,1976,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"1763",64,"Male","No",15,12,1957,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1764",26,"Male","Yes",16,9,1995,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1765",32,"Transgender","Yes",18,12,1989,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"1766",35,"Male","Yes",18,12,1986,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1767",30,"Female","Yes",16,9,1991,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1768",70,"Female","Yes",16,NA,1951,NA,"None",NA,NA
"1769",NA,"Female","No",15,12,9999,19,"Four","$50,000 TO $59,999","$25,000 OR MORE"
"1770",46,"Male","Yes",14,12,1975,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1771",33,"Male","Yes",13,1,1988,18,"None","$40,000 TO $49,999","$1,000 AND UNDER"
"1772",74,"Male","Yes",12,12,1947,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1773",63,"Male","Yes",10,1,1958,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"1774",33,"Male","Yes",12,12,1988,18,"One","$40,000 TO $49,999","$25,000 OR MORE"
"1775",36,"Female","Yes",16,12,1985,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1776",59,"Male","Yes",16,12,1962,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1777",77,"Male","Yes",17,12,1944,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1778",31,"Female","Yes",14,12,1990,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1779",47,"Female","Yes",16,12,1974,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1780",62,"Male","Yes",18,12,1959,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"1781",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"1782",42,"Female","Yes",12,12,1979,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1783",22,"Male","Yes",9,NA,1999,NA,NA,NA,NA
"1784",79,"Male","Yes",12,12,1942,15,"Four","$25,000 TO $29,999","$25,000 OR MORE"
"1785",73,"Male","Yes",12,12,1948,20,NA,"$60,000 TO $74,999","$25,000 OR MORE"
"1786",30,"Male","Yes",19,12,1991,17,"Four","$35,000 TO $39,999","$25,000 OR MORE"
"1787",56,"Female","Yes",12,NA,1965,NA,"None",NA,NA
"1788",52,"Female","Yes",18,13,1969,26,"None","$170,000 OR OVER",NA
"1789",33,"Male","Yes",11,12,1988,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1790",53,"Male","Yes",12,13,1968,26,"None","$170,000 OR OVER",NA
"1791",NA,NA,"Yes",12,13,9999,27,"None",NA,NA
"1792",35,"Male","Yes",18,12,1986,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1793",51,"Male","Yes",13,12,1970,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1794",32,"Female","Yes",16,12,1989,23,"Two","$110,000 TO $129,999","$25,000 OR MORE"
"1795",NA,"Male","Yes",20,13,9999,26,"None","$170,000 OR OVER",NA
"1796",NA,"Male","Yes",12,12,9999,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1797",NA,"Female","Yes",14,12,9999,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1798",64,"Female","Yes",12,12,1957,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1799",NA,"Female","Yes",13,NA,9999,NA,"None",NA,NA
"1800",35,"Male","Yes",17,12,1986,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"1801",75,"Female","Yes",13,12,1946,20,"Three","$60,000 TO $74,999","$25,000 OR MORE"
"1802",60,"Female","Yes",12,NA,1961,NA,NA,NA,NA
"1803",75,"Female","Yes",14,12,1946,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1804",40,"Female","Yes",16,12,1981,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1805",74,"Male","Yes",14,12,1947,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1806",47,"Female","Yes",11,2,1974,2,NA,"$1,000 TO $2,999","$1,000 TO $2,999"
"1807",56,"Female","Yes",16,12,1965,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1808",25,"Female","Yes",16,11,1996,13,NA,"$20,000 TO $22,499","$20,000 TO $24,999"
"1809",37,"Male","Yes",20,9,1984,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1810",42,"Female","Yes",16,12,1979,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1811",42,"Male","No",16,12,1979,24,"Four","$130,000 TO $149,999","$25,000 OR MORE"
"1812",26,"Male","Yes",12,12,1995,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1813",63,"Female","Yes",13,9,1958,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1814",68,"Female","Yes",13,11,1953,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"1815",NA,NA,"Yes",12,13,9999,27,"None",NA,NA
"1816",80,"Female","Yes",10,10,1941,12,NA,"$17,500 TO $19,999","$15,000 TO $19,999"
"1817",61,"Male","Yes",11,NA,1960,NA,"None",NA,NA
"1818",25,"Female","Yes",16,12,1996,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1819",58,"Male","Yes",11,NA,1963,NA,"None",NA,NA
"1820",24,"Male","Yes",13,12,1997,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1821",55,"Male","Yes",14,11,1966,13,"One","$20,000 TO $22,499","$20,000 TO $24,999"
"1822",35,"None of These","Yes",12,12,1986,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1823",34,"Female","Yes",13,12,1987,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1824",68,"Female","Yes",12,9,1953,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1825",48,"Female","Yes",16,13,1973,26,"None","$170,000 OR OVER",NA
"1826",35,"Male","Yes",14,12,1986,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1827",54,"Male","Yes",14,12,1967,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1828",38,"Male","No",7,NA,1983,NA,"None",NA,NA
"1829",43,"Female","Yes",14,12,1978,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1830",NA,"Male","Yes",12,NA,9999,NA,"None",NA,NA
"1831",60,"Male","Yes",12,12,1961,15,NA,"$25,000 TO $29,999","$25,000 OR MORE"
"1832",59,"Female","Yes",12,11,1962,14,NA,"$22,500 TO $24,999","$20,000 TO $24,999"
"1833",49,"Male","Yes",13,12,1972,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1834",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"1835",34,"Male","Yes",12,2,1987,2,"None","$1,000 TO $2,999","$1,000 TO $2,999"
"1836",25,"Male","Yes",12,12,1996,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1837",60,"Female","Yes",12,12,1961,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1838",31,"Female","Yes",16,12,1990,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1839",81,"Female","Yes",12,11,1940,13,NA,"$20,000 TO $22,499","$20,000 TO $24,999"
"1840",54,"Female","Yes",14,3,1967,3,"None","$3,000 TO $3,999","$3,000 TO $3,999"
"1841",62,"Female","Yes",12,12,1959,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1842",54,"Female","Yes",12,8,1967,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
"1843",69,"Female","Yes",12,12,1952,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"1844",38,"Female","Yes",18,12,1983,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1845",39,"Female","Yes",16,9,1982,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1846",51,"Female","Yes",19,12,1970,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1847",63,"Female","Yes",13,9,1958,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1848",50,"Male","Yes",16,12,1971,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1849",68,"Male","Yes",12,13,1953,27,"None",NA,NA
"1850",60,"Female","Yes",12,12,1961,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1851",32,"Male","Yes",20,1,1989,1,"Two","$1,000 AND UNDER","$1,000 AND UNDER"
"1852",32,"Female","No",18,12,1989,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"1853",67,"Male","Yes",19,12,1954,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"1854",67,"Male","Yes",12,12,1954,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1855",21,"Male","Yes",12,NA,2000,NA,"None",NA,NA
"1856",67,"Female","Yes",14,8,1954,8,NA,"$8,000 TO $9,999","$8,000 TO $9,999"
"1857",25,"Female","Yes",16,13,1996,26,"None","$170,000 OR OVER",NA
"1858",66,"Female","Yes",12,12,1955,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1859",43,"Female","Yes",12,12,1978,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1860",42,"Female","Yes",16,12,1979,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"1861",59,"Female","Yes",14,8,1962,8,NA,"$8,000 TO $9,999","$8,000 TO $9,999"
"1862",54,"Female","Yes",12,1,1967,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"1863",42,"Male","Yes",11,12,1979,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"1864",33,"Female","Yes",14,12,1988,21,NA,"$75,000 TO $89,999","$25,000 OR MORE"
"1865",40,"Male","Yes",14,12,1981,25,"Three","$150,000 TO $169,999","$25,000 OR MORE"
"1866",34,"Female","Yes",16,12,1987,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1867",58,"Female","Yes",12,11,1963,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"1868",40,"Female","Yes",17,12,1981,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1869",28,"Female","No",16,12,1993,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"1870",58,"Male","Yes",12,12,1963,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1871",26,"Male","Yes",15,9,1995,11,"One","$15,000 TO $17,499","$10,000 TO $14,999"
"1872",NA,"Female","No",12,12,9999,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1873",22,"Female","Yes",15,2,1999,2,"One","$1,000 TO $2,999","$1,000 TO $2,999"
"1874",57,"Female","Yes",12,10,1964,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"1875",51,"Male","Yes",14,12,1970,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1876",33,"Male","Yes",11,NA,1988,NA,"None",NA,NA
"1877",42,"Female","Yes",9,5,1979,5,"None","$5,000 TO $5,999","$5,000 TO $5,999"
"1878",76,"Male","Yes",16,12,1945,23,NA,"$110,000 TO $129,999","$25,000 OR MORE"
"1879",65,"Female","Yes",12,12,1956,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1880",58,"Male","Yes",12,12,1963,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1881",64,"Male","Yes",15,1,1957,1,"None","$1,000 AND UNDER","$1,000 AND UNDER"
"1882",35,"Female","Yes",13,9,1986,10,"None","$12,500 TO $14,999","$10,000 TO $14,999"
"1883",41,"Male","Yes",18,12,1980,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1884",72,"Female","Yes",15,12,1949,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1885",65,"Female","Yes",12,12,1956,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1886",68,"Female","Yes",12,11,1953,13,"None","$20,000 TO $22,499","$20,000 TO $24,999"
"1887",34,"Female","Yes",18,12,1987,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1888",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"1889",77,"Female","Yes",16,12,1944,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1890",79,"Male","Yes",13,12,1942,21,NA,"$75,000 TO $89,999","$25,000 OR MORE"
"1891",20,"Male","Yes",12,2,2001,2,NA,"$1,000 TO $2,999","$1,000 TO $2,999"
"1892",66,"Male","Yes",16,12,1955,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1893",57,"Male","Yes",12,12,1964,26,"None","$170,000 OR OVER","$25,000 OR MORE"
"1894",29,"Female","Yes",17,NA,1992,NA,"None",NA,NA
"1895",27,"Female","Yes",13,8,1994,8,"None","$8,000 TO $9,999","$8,000 TO $9,999"
"1896",38,"Female","Yes",14,12,1983,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"1897",47,"Female","Yes",12,2,1974,2,"None","$1,000 TO $2,999","$1,000 TO $2,999"
"1898",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"1899",36,"Female","Yes",11,2,1985,2,"None","$1,000 TO $2,999","$1,000 TO $2,999"
"1900",30,"Male","Yes",12,12,1991,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1901",57,"Male","Yes",17,13,1964,26,"None","$170,000 OR OVER",NA
"1902",53,"Female","Yes",12,13,1968,26,"None","$170,000 OR OVER",NA
"1903",51,"Female","Yes",17,13,1970,26,"None","$170,000 OR OVER",NA
"1904",56,"Female","Yes",11,9,1965,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1905",58,"Female","No",16,NA,1963,NA,"None",NA,NA
"1906",NA,"Female","Yes",16,12,9999,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1907",32,"Female","Yes",12,NA,1989,NA,"Two",NA,NA
"1908",63,"Male","Yes",17,13,1958,26,"None","$170,000 OR OVER",NA
"1909",59,"Male","Yes",13,9,1962,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1910",51,"Male","Yes",19,12,1970,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1911",57,"Female","Yes",16,12,1964,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1912",59,"Male","Yes",12,12,1962,17,"Four","$35,000 TO $39,999","$25,000 OR MORE"
"1913",38,"Female","Yes",15,9,1983,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1914",76,"Male","Yes",14,12,1945,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1915",41,"Male",NA,NA,12,1980,17,NA,"$35,000 TO $39,999","$25,000 OR MORE"
"1916",36,"Female","Yes",17,12,1985,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1917",60,"Male","Yes",10,9,1961,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1918",40,"Female","Yes",9,NA,1981,NA,"None",NA,NA
"1919",31,"Female","Yes",16,12,1990,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1920",NA,"Female","No",20,NA,9999,NA,"Four",NA,NA
"1921",29,"Female","Yes",16,12,1992,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1922",33,"Female","Yes",12,12,1988,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1923",55,"Female","Yes",14,12,1966,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1924",39,"Female","Yes",16,9,1982,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"1925",45,"Male","Yes",11,12,1976,19,"One","$50,000 TO $59,999","$25,000 OR MORE"
"1926",54,"Male","Yes",12,9,1967,10,NA,"$12,500 TO $14,999","$10,000 TO $14,999"
"1927",70,"Male","Yes",16,12,1951,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1928",28,"Female","Yes",14,NA,1993,NA,"None",NA,NA
"1929",NA,"Female","Yes",17,12,9999,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1930",57,"Female","Yes",14,4,1964,4,"None","$4,000 TO $4,999","$4,000 TO $4,999"
"1931",51,"Male","Yes",17,13,1970,26,"None","$170,000 OR OVER",NA
"1932",73,"Female","Yes",16,12,1948,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1933",52,"Female","Yes",16,12,1969,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1934",74,"Female","Yes",16,12,1947,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1935",29,"Female","Yes",16,12,1992,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1936",56,"Female","Yes",19,12,1965,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1937",55,"Female","Yes",12,12,1966,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1938",63,"Male","Yes",15,13,1958,26,NA,"$170,000 OR OVER",NA
"1939",68,"Male","Yes",16,13,1953,26,"Two","$170,000 OR OVER",NA
"1940",37,"Male","No",18,9,1984,9,"Four","$10,000 TO $12,499","$10,000 TO $14,999"
"1941",45,"Female","Yes",12,12,1976,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"1942",37,"Female","Yes",16,12,1984,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1943",77,"Female","Yes",20,12,1944,23,"Two","$110,000 TO $129,999","$25,000 OR MORE"
"1944",NA,"Female","Yes",14,11,9999,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"1945",69,"Male","Yes",12,12,1952,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1946",36,"Female","Yes",18,12,1985,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1947",34,"Female","Yes",15,10,1987,12,"None","$17,500 TO $19,999","$15,000 TO $19,999"
"1948",NA,"Male","Yes",15,12,9999,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1949",26,"Female","Yes",16,12,1995,15,"None","$25,000 TO $29,999","$25,000 OR MORE"
"1950",82,"Male","Yes",20,12,1939,25,"Four","$150,000 TO $169,999","$25,000 OR MORE"
"1951",33,"Female","Yes",16,12,1988,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1952",60,"Female","Yes",16,12,1961,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1953",64,"Male","Yes",12,10,1957,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"1954",81,"Female","Yes",9,NA,1940,NA,"None",NA,NA
"1955",42,"Female","Yes",15,12,1979,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1956",19,"Female","Yes",12,12,2002,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1957",NA,NA,NA,16,13,9999,27,NA,NA,NA
"1958",74,"Male","Yes",16,12,1947,15,"Four","$25,000 TO $29,999","$25,000 OR MORE"
"1959",62,"Female","Yes",18,12,1959,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"1960",40,"Male","Yes",16,9,1981,9,NA,"$10,000 TO $12,499","$10,000 TO $14,999"
"1961",46,"Female","Yes",17,12,1975,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1962",33,"Male","Yes",16,12,1988,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1963",62,"Male","Yes",14,12,1959,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1964",54,"Male","No",18,13,1967,26,NA,"$170,000 OR OVER",NA
"1965",53,"Male","Yes",14,13,1968,26,"Two","$170,000 OR OVER",NA
"1966",33,"Female","Yes",14,NA,1988,NA,"None",NA,NA
"1967",72,"Female","Yes",18,12,1949,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"1968",35,"Female","Yes",12,12,1986,23,"None","$110,000 TO $129,999","$25,000 OR MORE"
"1969",51,"Female","No",14,12,1970,17,"Four","$35,000 TO $39,999","$25,000 OR MORE"
"1970",34,"Male","Yes",16,12,1987,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"1971",73,"Male","Yes",12,11,1948,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"1972",53,"Female","Yes",16,12,1968,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"1973",75,"Female","Yes",20,12,1946,19,"None","$50,000 TO $59,999","$25,000 OR MORE"
"1974",36,"Female","Yes",12,12,1985,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1975",27,"Male","Yes",13,12,1994,19,"Two","$50,000 TO $59,999","$25,000 OR MORE"
"1976",23,"Female","Yes",12,NA,1998,NA,"None",NA,NA
"1977",51,"Female","No",6,12,1970,22,NA,"$90,000 TO $109,999","$25,000 OR MORE"
"1978",29,"Male","No",16,12,1992,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"1979",31,"Female","Yes",14,12,1990,16,"None","$30,000 TO $34,999","$25,000 OR MORE"
"1980",39,"Male","Yes",12,12,1982,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1981",48,"Male","Yes",14,12,1973,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"1982",66,"Male","Yes",11,NA,1955,NA,"None",NA,NA
"1983",63,"Female","Yes",17,12,1958,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"1984",59,"Female","No",16,12,1962,21,"Three","$75,000 TO $89,999","$25,000 OR MORE"
"1985",69,"Female","Yes",12,9,1952,10,"Three","$12,500 TO $14,999","$10,000 TO $14,999"
"1986",NA,NA,"Yes",12,12,9999,17,"None","$35,000 TO $39,999","$25,000 OR MORE"
"1987",60,"Female","Yes",16,13,1961,26,"One","$170,000 OR OVER",NA
"1988",81,"Male","Yes",20,12,1940,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"1989",NA,"Female","Yes",10,13,9999,26,"None","$170,000 OR OVER",NA
"1990",45,"Female","Yes",15,12,1976,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"1991",NA,"Male","No",12,12,9999,20,"Four","$60,000 TO $74,999","$25,000 OR MORE"
"1992",57,"Female","Yes",16,13,1964,26,"None","$170,000 OR OVER",NA
"1993",43,"Female","No",18,12,1978,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"1994",37,"Female","No",0,NA,1984,NA,NA,NA,NA
"1995",42,"Female","No",13,NA,1979,NA,"Four",NA,NA
"1996",48,"Male","No",20,13,1973,26,"Four","$170,000 OR OVER",NA
"1997",22,"Female","Yes",13,7,1999,7,NA,"$7,000 TO $7,999","$7,000 TO $7,999"
"1998",37,"Female","Yes",20,13,1984,26,"Four","$170,000 OR OVER",NA
"1999",48,"Female","Yes",10,1,1973,1,NA,"$1,000 AND UNDER","$1,000 AND UNDER"
"2000",37,"Female","Yes",14,12,1984,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"2001",67,"Female","Yes",12,9,1954,9,"None","$10,000 TO $12,499","$10,000 TO $14,999"
"2002",38,"Male","No",6,NA,1983,NA,NA,NA,NA
"2003",88,"Female","No",12,12,1933,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"2004",67,"Male","Yes",20,12,1954,22,"Three","$90,000 TO $109,999","$25,000 OR MORE"
"2005",55,"Female","Yes",14,12,1966,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"2006",54,"Female","Yes",14,12,1967,22,"Two","$90,000 TO $109,999","$25,000 OR MORE"
"2007",72,"Male","Yes",15,12,1949,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"2008",49,"Male","Yes",11,10,1972,11,NA,"$15,000 TO $17,499","$15,000 TO $19,999"
"2009",63,"Female","Yes",14,12,1958,18,NA,"$40,000 TO $49,999","$25,000 OR MORE"
"2010",63,"Female","Yes",18,12,1958,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"2011",NA,NA,NA,NA,13,9999,27,NA,NA,NA
"2012",50,"Male","Yes",18,13,1971,26,"None","$170,000 OR OVER",NA
"2013",66,"Male","Yes",13,11,1955,14,"None","$22,500 TO $24,999","$20,000 TO $24,999"
"2014",39,"Female","Yes",9,NA,1982,NA,"None",NA,NA
"2015",75,"Male","Yes",18,12,1946,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"2016",61,"Female","Yes",15,1,1960,1,"One","$1,000 AND UNDER","$1,000 AND UNDER"
"2017",19,"Male","No",11,NA,2002,NA,NA,NA,NA
"2018",42,"Female","Yes",18,13,1979,26,NA,"$170,000 OR OVER",NA
"2019",47,"Female","Yes",5,NA,1974,NA,"Three",NA,NA
"2020",43,"Male","Yes",18,12,1978,22,"Four","$90,000 TO $109,999","$25,000 OR MORE"
"2021",24,"Female","Yes",16,9,1997,9,"Three","$10,000 TO $12,499","$10,000 TO $14,999"
"2022",46,"Female","Yes",12,10,1975,11,"None","$15,000 TO $17,499","$15,000 TO $19,999"
"2023",77,"Female","Yes",14,12,1944,22,"None","$90,000 TO $109,999","$25,000 OR MORE"
"2024",40,"Female","Yes",15,12,1981,23,"Four","$110,000 TO $129,999","$25,000 OR MORE"
"2025",33,"Male","Yes",14,11,1988,13,"Four","$20,000 TO $22,499","$20,000 TO $24,999"
"2026",75,"Male","Yes",13,12,1946,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"2027",62,"Male","Yes",14,12,1959,19,"Three","$50,000 TO $59,999","$25,000 OR MORE"
"2028",53,"Female","Yes",20,3,1968,18,"None","$40,000 TO $49,999","$3,000 TO $3,999"
"2029",35,"Female",NA,12,1,1986,1,NA,"$1,000 AND UNDER","$1,000 AND UNDER"
"2030",23,"Male","Yes",9,2,1998,2,"Four","$1,000 TO $2,999","$1,000 TO $2,999"
"2031",28,"Male","Yes",16,12,1993,18,"Four","$40,000 TO $49,999","$25,000 OR MORE"
"2032",35,"Female","Yes",12,11,1986,14,"One","$22,500 TO $24,999","$20,000 TO $24,999"
"2033",NA,"Female","Yes",14,12,9999,16,"Three","$30,000 TO $34,999","$25,000 OR MORE"
"2034",63,"Female","No",14,12,1958,24,"Four","$130,000 TO $149,999","$25,000 OR MORE"
"2035",26,"Male","Yes",16,12,1995,24,"None","$130,000 TO $149,999","$25,000 OR MORE"
"2036",48,"Male","Yes",16,12,1973,20,"Two","$60,000 TO $74,999","$25,000 OR MORE"
"2037",64,"Male","Yes",12,12,1957,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"2038",68,"Male","Yes",12,10,1953,11,"Two","$15,000 TO $17,499","$15,000 TO $19,999"
"2039",NA,"Male","Yes",13,12,9999,21,"None","$75,000 TO $89,999","$25,000 OR MORE"
"2040",24,"Male","Yes",12,NA,1997,NA,NA,NA,NA
"2041",48,"Male","Yes",12,12,1973,21,"One","$75,000 TO $89,999","$25,000 OR MORE"
"2042",40,"Male","Yes",13,12,1981,21,"Four","$75,000 TO $89,999","$25,000 OR MORE"
"2043",NA,"Male","Yes",10,12,9999,18,"None","$40,000 TO $49,999","$25,000 OR MORE"
"2044",74,"Female","Yes",16,12,1947,19,"Two","$50,000 TO $59,999","$25,000 OR MORE"
"2045",34,"Female","Yes",13,12,1987,20,"None","$60,000 TO $74,999","$25,000 OR MORE"
"2046",43,"Male","Yes",15,12,1978,18,"Two","$40,000 TO $49,999","$25,000 OR MORE"
"2047",44,"Male","Yes",20,12,1977,25,"None","$150,000 TO $169,999","$25,000 OR MORE"
"2048",45,"Female","No",16,13,1976,26,"Two","$170,000 OR OVER",NA
"2049",65,"Male","No",18,12,1956,15,"Four","$25,000 TO $29,999","$25,000 OR MORE"
